鈴木大介八段 vs
 19:18 ｗｗｗ
 19:18 ｗｗｗ
 19:19 ちょｗｗｗｗ
 19:19 でも、お高いんでしょう？
 19:19 さっそくｗｗ
 19:19 5０名様
 19:20 ｗｗｗｗｗ
 19:20 おーマチがあるのが良いです
 19:20 ｗｗｗｗｗｗｗｗｗ
 19:22 ｗｗｗｗ
 19:22 ｗｗｗｗ
 19:22 電車これですか？
 19:22 ｗｗｗｗｗｗ
 19:22 自らｗ
 19:23 ｗｗｗｗｗｗｗｗｗｗｗｗ
 19:23 そりゃ欲しいわwwwwwww
 19:24 ｗｗｗｗ
 19:24 wwwwwww
 19:24 商売上手
 19:25 SUGEEEEE
 19:26 落としそうｗｗ
 19:26 まさにエコ
 19:26 www
 19:27 いくらなの？
 19:29 これで電車乗るのは・・・
 19:30 すげー
 19:31 大会用にええわ
 19:31 宣伝の方が準備が良い！
 19:32 営業マンｗ
 19:32 ジメイ気を使って使えよｗ
 19:32 スーツにこれってｗ
 19:34 自然流
 19:34 でも，お高いんでしょう？
 19:34 あら
 19:35 自然だね
 19:36 自然じゃねえｗｗｗｗ
 19:36 自然ｗ
 19:37 どこの営業マン？
 19:38 普通じゃねぇｗｗｗ
 19:38 ピクニックにもぜひ
 19:38 え？視聴者全員プレゼント？
 19:39 ＳＨＩＺＥＮ
 19:39 おそろいｗ
 19:39 し、自然です
 19:40 おろそ
 19:40 運営笑うなｗｗ
 19:41 使いやすさをアピール
 19:41 安い！
 19:41 これ持って対局室に入って欲しい
 19:42 おそろいいいな～
 19:42 自然？
 19:42 しぜんｗｗｗ
 19:43 みんなお揃い
 19:44 ちょっと無理ｗ
 19:44 中にハンカチ入ってるのかな
 19:44 ペアバッグ
 19:44 サインもいれてほしい
 19:45 おっそろい
 19:45 不自然
 19:45 電車これは・・・
 19:46 かわいい
 19:46 これだけwwwwwwwwwww
 19:46 500円くらいおまえら買えよｗｗ
 19:46 おそろｗ
 19:47 将棋会館で売ってるんですか？
 19:48 気を使いますみなみ
 19:50 歩く広告塔ｗ
 19:52 ほんとだwwwwwwww
 19:54 やったぜ
 19:57 ほう
 19:58 いや～～～ナチュラルだね！
 19:59 よしメール送るわ
 20:00 応募しなきゃ（使命感）
 20:00 五明さま
 20:01 もう11件もメール来てる
 20:01 ガンガン送れ
 20:02 メール送らねば
 20:10 対局の準備はしないのに宣伝の準備は万全
 20:10 白ペンで
 20:12 メール激増の予感
 20:12 マジかよｗｗ
 20:12 記憶に残った！
 20:13 銀のペンが必要
 20:14 全部書いて・・・
 20:15 銀座を歩こう
 20:15 サインまで
 20:17 サイン付きが一つだと！？
 20:18 よろしくお願いします
 20:19 サービス満点
 20:19 マジか
 20:22 白ペンあるのかな？
 20:23 やっほーーーーい
 20:24 やったぜ。
 20:24 ハンコも押して
 20:24 しろ
 20:25 サイン入ると使えなくなっちゃうジレンマ
 20:27 サービスよすぎぃい
 20:27 これはかなり価値が
 20:27 白ペンか黒ペンか
 20:27 達筆だからな
 20:27 白ペン
 20:31 用意がいい！
 20:31 早速メール増えたｗ
 20:34 白ペン
 20:36 黒
 20:36 赤ペン先生
 20:36 さすが商売人やで
 20:37 白ー
 20:38 用意いいなｗ
 20:40 大サービスやん
 20:41 千里万空
 20:46 みんな現金だな
 20:46 見えない
 20:47 商売繁盛
 20:47 保存用エコバッグ
 20:49 本気モードｗｗｗ
 20:49 当たったら村山七段に送ります
 20:55 飯島株うなぎ昇り
 20:56 現在メール12件ですが、凄いことになりそう
 20:56 サインがあったら飾らなあかんな
 20:58 サービス精神の塊
 20:58 弟弟子って書いてほしい
 20:58 見えない
 21:00 先生
 21:01 黒はないだよwww
 21:06 村山
 21:06 謝罪会見
 21:07 じめいって書いて～
 21:08 プレゼントがあると露骨に増えるねｗ
 21:12 原価の話ですか？
 21:13 どれくらい（原価）
 21:14 原価はいくらです
 21:14 へーｗ
 21:15 「謝罪はよ」飯島七段
 21:15 みなみちゃんの服と同じ色だ
 21:21 さっそくメール増えてるやんけ！
 21:23 ツボをついてますねぇwwww
 21:29 なるほどｗ
 21:30 このやろーとか
 21:32 南ちゃん半笑いｗ
 21:35 商魂
 21:38 結構がっつり書いてはる
 21:39 白字
 21:42 行雲
 21:47 書かないよねw
 21:50 ｗｗ
 21:53 飯島+200
 21:56 南さんのサインは？？？？
 21:56 太さ一定だもんね
 21:59 おまえら買うんだぞｗ
 22:02 行雲流水？
 22:03 まあ全て自分で決めたことですけどね
 22:04 おう
 22:09 いいね
 22:10 うまい！！
 22:12 おーおー
 22:12 いいじゃんｗ
 22:12 かっけえ
 22:12 2人のサインがいいなぁ！！
 22:14 7０００円ですか？
 22:15 保存版ですよ
 22:15 幸運流水
 22:16 床の間に飾っておきたい
 22:16 お線香に書いてそう
 22:16 うまいなぁ
 22:16 観賞用ですね
 22:16 うめえｗ
 22:17 うめぇな
 22:17 かっこいい
 22:17 すてきーーー！！！！！！！
 22:17 すげーいいじゃん
 22:17 それ、体に触れる側・・・
 22:18 かっこいい
 22:18 家宝にすればよい
 22:18 ほしいいいい
 22:18 レア度UP
 22:18 部屋に飾るだろ
 22:19 いい感じ
 22:19 プレミアム品
 22:19 ほしいいいいいいいいいいいい
 22:22 うまいなー
 22:22 達筆
 22:23 意味は
 22:24 600
 22:24 ながれみず？？？
 22:25 達筆だ
 22:25 かっこいい
 22:25 からすの行水
 22:26 落としたら飯島先生のところに行くんですか？
 22:26 家宝にします
 22:27 これはいい
 22:28 布の材質は？
 22:29 毎朝、拝みます
 22:29 これはプレミアもの
 22:32 額に入れて飾らないと
 22:36 拾得物ｗ
 22:39 もっと大きいサイズはないんです？
 22:41 これは飾るしかないな
 22:42 渋谷を歩こう
 22:43 おとしてもだいじょうぶだな
 22:43 かっこいいし裏はかわいいし最高じゃん！
 22:45 一気に価値があがりました
 22:46 これはレアものやな
 22:47 カッコいい！！！、！
 22:48 落し物→連盟→ドワ→再送
 22:48 おー
 22:52 マグネットが売り切れてます
 22:52 なまえｗ
 22:54 東京の人いいなー
 22:54 雲のように行って、水のように流れる
 22:55 千駄ヶ谷へGO
 23:00 分かる人には分かる感がいい
 23:01 拾得物ルートｗｗｗ
 23:03 それでもいらないです
 23:03 大阪でも買えるの？
 23:04 南さんのは？？？？
 23:09 ナイスサービス
 23:10 原価はおいくら？
 23:12 棋譜付き
 23:13 外国人に売れそう
 23:13 落し物になったら、もれなく飯島さんに返ってくるね
 23:15 でもお高いんでしょ
 23:16 じゃあｗ
 23:19 使います！
 23:20 わお、もう24件もメール来てる
 23:21 メールが一気に倍増した
 23:22 チャリカゴに入れて爆走南
 23:23 なんの即売会
 23:24 ええｗ
 23:25 当たると対局忘れられないかな
 23:25 ｗｗｗｗｗ
 23:27 ｗ
 23:27 なくすなよw
 23:28 これは欲しいですね
 23:28 いやいや
 23:29 子供以外でも使えそうでいい
 23:29 なくすの前提ｗｗ
 23:30 wwwwww
 23:32 現地行くとき使ってね
 23:35 五〇〇円也
 23:35 千駄ヶ谷でうろうろしよう
 23:36 ビニール傘レベルかｗ
 23:39 ファンを大切にしてくれるから大好きだわ
 23:40 失くしても安心
 23:40 ピンクとかオレンジがあると女の人は使うかも
 23:40 /cls
 23:43 何個も買えばいいだけ
 23:43 2つ買えばＯＫだね
 23:44 沢山売れるしね
 23:48 5００円ですもんね
 23:49 額に飾ります
 23:49 なるほどな
 23:49 保存用と普段使い用
 23:51 プレミアムバッグになった
 23:51 「もったいないから」　言っちゃった
 23:58 南さんも書いて貰えばいいよw
 23:59 一人5個づつ買おう
 24:02 色違いは発売されませんか？
 24:04 使って　宣伝しろと
 24:06 ほほー
 24:08 もったいなくてもらいたくない
 24:10 ジュースｗ
 24:11 ｗｗｗ
 24:11 ｗｗｗｗｗ
 24:12 どこかのTシャツ7000円よりはかなり良心的ｗ
 24:12 サインは洗って大丈夫なのかな・・・
 24:13 ｗｗｗｗ
 24:13 なんの話かな
 24:13 どうぞどうぞ
 24:13 ｗ
 24:13 wwwww
 24:14 保存用、普段用、布教用
 24:15 1色のみです
 24:16 ｗｗｗｗｗｗｗ
 24:16 買い物袋に良いな
 24:20 込み合ってきた
 24:20 ｗｗｗ
 24:22 ジュースこぼした話かよ
 24:23 気がつけば、宣伝に
 24:23 先手大介かよ！！
 24:23 間違えてジュースこぼしちゃった？
 24:24 そうだね
 24:25 宣伝がメインですｗ
 24:25 なんの話してるの俺
 24:26 ｗｗ
 24:27 大介師匠、がんばれ
 24:29 村山を忘れるAじ
 24:34 なるほどいいなぁ
 24:34 大介ここまできたらそのまま行きたいだろうな
 24:38 /vote
 24:43 何の話wwwwwwwww
 24:53 記録はまた森村元三段かな
 24:53 ときたま将棋
 24:54 中中中
 24:55 よんけん
 24:56 1けんびしゃ
 24:56 どっち応援アンケもやりましょう
 24:56 対抗型
 25:00 ジメイがんがれ！
 25:02 AO戦の存在を忘れるA時
 25:03 忘れ返し
 25:05 ﾋﾞｯｼｬｱ・・・
 25:05 ジメイの作戦楽しみ
 25:06 ゼロの22乗
 25:13 そらもうAちゃんの宣伝タイムよ
 25:14 どうする相振りー
 25:17 さっきアンケ出なかった？
 25:25 9択にしたらいかがでしょう？
 25:29 9択にしてもええんやで
 25:31 三手で予想がはずれる
 25:32 まだ後3枠あるぞ
 25:34 /vote
 25:37 33．4
 25:38 9択は、禁句です
 25:39 ほーほー
 25:40 まあな
 25:41 ばらける
 25:43 33－4
 25:44 ほう
 25:47 のましけ
 25:48 2-1-3
 25:48 4間はせんじゃろう
 25:55 1か3
 26:05 ＠4分
 26:15 /vote
 26:17 結構長い間だな
 26:21 予想外れろ
 26:22 ぷ～ん
 26:24 じゃぁ外れるね
 26:25 メールが増えておりますぞｗ
 26:28 険しい表情だ
 26:32 ギロリ
 26:33 メールすげえw
 26:37 両方です
 26:38 南先生
 26:39 両方
 26:40 大ちゃん
 26:41 これは割れそうだな
 26:43 大ちゃん
 26:45 Aちゃん
 26:45 電王戦未経験者にソフトと戦ってほしいから大ちゃん応援
 26:45 大ちゃん
 26:46 南ちゃん！
 26:47 そらもうAちゃんよ
 26:47 じめいさんかなぁ・・・
 26:48 メールｗｗ
 26:48 飯島先生
 26:50 太ちゃん
 26:50 記録係君
 26:51 にゃん
 26:53 ひきかくくん
 26:54 大ちゃんもじめいも人気あるからなー
 26:58 みなみちゃんを応援します
 27:08 大ちゃんのファンも多いね
 27:08 /vote
 27:10 大介　大介　大介
 27:14 3
 27:15 ニャン
 27:17 飯島先生応援
 27:19 3…
 27:19 これは割れる
 27:20 ニャンって
 27:20 大ちゃん
 27:21 だいちゃんやな
 27:21 にゃンがある
 27:22 ここでにゃんはいらんだろ
 27:23 ﾆｬｯ
 27:23 大介師匠が最後の砦
 27:23 大介52%
 27:29 ジメイで
 27:29 ﾏｰｵ
 27:31 にゃんこ先生
 27:34 にゃ
 27:35 /vote
 27:37 大ちゃんの方が多いか
 27:38 前回は大ちゃんは呼び捨てにしていたのにｗ
 27:39 早指し大ちゃん
 27:39 予習はｗｗ
 27:39 ええ・・・
 27:41 竜王戦解説で燃え尽きている
 27:41 ジメイ・・・
 27:42 しゃーない
 27:44 大ちゃんすげー
 27:44 凄い人気だ
 27:46 圧倒的
 27:46 ジメイに電王戦リベンジしてほしい
 27:46 大介関強し
 27:46 根強い人気
 27:47 じめい先生ｗｗｗｗｗｗ
 27:47 大介大人気
 27:47 やっぱり知名度が違うかぁ
 27:48 大人気
 27:48 大介多いｗ
 27:49 ハチワン
 27:49 ハチワン出てたし
 27:51 判官びいき
 27:51 こんなににゃんが少ないなんて・・・
 27:51 A時補正だな
 27:59 /vote
 28:04 おもしろいから
 28:05 3は加藤一二三
 28:10 そっか、唯一なのか
 28:15 えらい表情してはる・・・
 28:17 大介こんなに人気あるんか？意外だった
 28:18 おもろいから応援
 28:18 素手でコンピュータ戦に挑んで欲しいからなあ
 28:22 ニコ生でのイメージやな
 28:30 こうすけ見てるのかな
 28:33 相対的な評価さね
 28:34 通算大ちゃん2，ジメイ０らしい
 28:41 弱い方応援します
 28:43 振り党多いもんな
 28:50 もうすぐや
 28:50 記録係の人ピエール瀧に似てるね
 28:56 どきどき
 28:58 ピエール瀧やめｗ
 28:58 この記録係の子、いつも真剣でいいよな
 29:00 1分前
 29:01 鈴木一人だけ
 29:14 記録はどなた？
 29:16 ピエール畳だろ
 29:19 メガネ率低いな
 29:23 へー以外
 29:24 そーなんですか
 29:26 ゼロじゃん
 29:27 ？？？「闘志が沸き上がるのを待ってます」
 29:29 メガネ絶滅の危機
 29:30 あ、棋聖戦挑決でジメイさんを倒しました
 29:31 ほんまや眼鏡率ひくい
 29:56 うっ・・・
 29:57 そっその話は・・・
 30:00 大ちゃん眼鏡かけないの？
 30:02 帝国
 30:02 あ・・・
 30:03 帝国
 30:04 てーこく
 30:04 帝国
 30:09 そっちが記録か
 30:10 帝國か
 30:12 おねがいいたす
 30:13 さぁどうなる
 30:13 おなしゃす
 30:15 お願いします
 30:16 はじまた
 30:16 おねげーしますだ
 30:18 おねがいします
 30:18 まずは
 30:19 おなしゃす
 30:20 さあ
 30:22 そっちの人が記録だったかｗ
 30:22 3か4か
 30:23 にせこせさん
 30:23 記録、なんか巨勢っぽくね？
 30:26 ちーす
 30:29 さあ
 30:33 ほう
 30:33 お
 30:33 お
 30:34 ふお
 30:34 きたｗｗ
 30:34 お
 30:35 これ好き
 30:36 様子見
 30:36 お
 30:37 うひ
 30:40 挑発した
 30:44 Ｆ介
 30:45 9すじも～
 30:46 三手目で敗勢
 30:48 4
 30:49 4
 30:50 4
 30:52 きたあ
 30:53 4
 30:53 4
 30:54 ほう
 30:55 いや
 30:57 /perm
 30:57 あっ
 30:57 4
 30:57 鈴木降り確定
 30:59 ん
 31:02 じめい振る？
 31:05 メール50件突破
 31:05 そういえばジメイは最近この指し方してたような
 31:07 大介おもしろいから応援
 31:11 ないやろ～
 31:14 【対戦成績】
 31:16 止めた
 31:20 いいねいいね
 31:20 お
 31:20 かくみち
 31:27 おめでとうございます
 31:28 あたった
 31:30 振り続ける大ちゃん
 31:31 やったぜ
 31:39 一番見たいやつですな
 31:41 当たった！で、何が貰えるの？
 31:44 外れた・・・バッグもらえない
 31:44 外れたけど試験党として嬉しい
 31:48 当たった方にトートバッグをプレゼント！ｗ
 31:50 この戦型めっちゃ落ち着くわ
 31:52 満足がもらえる
 31:54 エコバッグがもらえます
 31:57 マルチャングル
 32:07 ちょっとパソコン買ってくる
 32:15 戦型アンケ、ちょうど別アン大きくしたらアンケ消えちゃったんだよなー
 32:16 まるちジャングル
 32:20 PC喰ってくるわ
 32:20 スラスラ読破
 32:34 せんすも黒
 32:36 観戦記者の方、えらい場所取ってないか
 32:36 黒扇子
 32:42 黒扇子
 32:44 エコバック500円お買い得　今注文した
 32:47 黒い扇子かっこいいな
 32:48 黒は珍しいね
 32:54 やっと止まった
 32:55 ｗｗｗ
 32:55 ｗｗｗ
 32:57 おいｗ
 32:57 ｗｗ
 32:58 ｗｗｗ
 32:58 さだまっすー
 32:59 好きです?
 33:00 /cls
 33:01 わかんなっすｗ
 33:01 いっとこ、いっとこ
 33:03 わかんないっす
 33:03 みなみちゃんの解説、聞きたい
 33:04 宣伝して満足したなｗ
 33:06 一応黒扇子は持っていますね
 33:06 していいんです
 33:08 きたーーーーーーーーーーーーー
 33:08 解説：貞升獣王
 33:08 すきですみなみ
 33:09 まあ熊よね
 33:10 ふながこい
 33:11 おいｗ
 33:12 熊？
 33:19 ぎんかん
 33:20 貞升さんなら解説もOK
 33:21 3手目に痺れたか
 33:32 普通に尋ねる飯島七段
 33:35 今日も先輩の意表を突くジメイ
 33:37 22王+45
 33:40 大介「4手目でしびれました」
 33:42 大介の顔がｗ
 33:45 さだますさんかいせつして
 33:51 大介も痺れた？
 34:03 ちがうんですか・・・
 34:17 手数掛かるからすか
 34:35 村山「飯島さん、叡王戦の解説やらないんですか？」
 34:47 電王盤は駒を下線に合わせるスタイル
 34:56 不安気な解説
 34:57 村山がやったってのが大きいな、何か作戦があるんだろう
 35:04 それよくやられるな
 35:08 矢内リスペクト
 35:12 三浦囲い
 35:19 野生の山か
 35:28 矢内囲い
 35:30 なるほど、狙われるね
 35:37 しかも後手だし
 36:05 これは後手つぶれでしょう
 36:07 間に淡路
 36:40 村山「飯島さん私の手の意味がわかりますか」
 36:50 あーなるほど
 36:53 もう前例ないのか
 37:03 渋い大介
 37:06 どっかで合流はありそう
 37:13 わしはその程度のこと気にせんよお
 37:18 記者さん退室
 37:29 今の人が記者だったのか
 37:40 さて
 37:45 ほうじゃろうほうじゃろう
 37:53 こまぐみこまごめこまたまご
 37:55 鈴木叡王
 38:47 ponaはどうかな
 39:35 パパ
 39:38 ホワイトボードが気になる
 39:41 お義父さん～
 39:43 エリア
 39:43 ﾊﾊｯ
 39:49 ポナは500
 39:52 なぜ先手なのに
 39:52 ワロスかｗ
 40:15 西尾「・・・」
 40:15 パナｗ
 40:22 1000がひっくり返ったの何回も見たんだが
 40:22 あ
 40:24 www
 40:25 ポナは3００で勝率6割、6００で8割と設定されているらしい
 40:25 蒸し返したｗ
 40:26 あ
 40:26 あっ・・・
 40:27 あっ・・・
 40:28 ｗｗｗｗ
 40:28 あ
 40:29 ポナさん
 40:32 ｗｗ
 40:32 ｗｗ
 40:33 大反響
 40:36 面白かったですｗｗｗｗ
 40:36 ｗｗｗｗ
 40:38 あれは最高でした
 40:39 相当傷ついてるな
 40:39 やったぜ！
 40:39 面白かったですよ
 40:45 面白かったです
 40:49 面白かったw
 40:49 いいネタ出来たんだよ
 40:49 見たのかｗ
 40:50 身を削っていくスタイル
 40:50 謝罪？
 40:51 みうみう、とばっちり
 40:53 面白かったってｗ
 40:54 TSチェックするスタイル
 40:56 あれは・・・謝罪でしたか・・・？
 40:58 謝罪していそうでしていない
 41:01 ｗｗｗ
 41:01 見たのかｗ
 41:02 ｗｗｗｗｗｗｗｗ
 41:02 ｗｗｗｗ
 41:03 ｗｗｗｗ
 41:03 野々村ぁ
 41:03 ｗｗ
 41:03 ｗｗｗ
 41:03 ｗｗｗｗ
 41:03 ｗｗｗｗｗｗｗ
 41:05 ノーネクタイだったけどねｗ
 41:05 ｗｗｗｗｗ
 41:06 謝罪九段
 41:06 ｗｗｗｗｗ
 41:06 謝罪→釈明→責任転嫁
 41:07 許した
 41:07 野々村ｗ
 41:08 wwwwwwww
 41:09 流れの基本ｗｗ
 41:10 佐村河内越えたかｗ
 41:13 3
 41:14 1
 41:14 A時も認める謝罪名人
 41:16 ｗｗｗ
 41:18 謝罪のプロｗ
 41:18 謝罪会見wwwwww
 41:21 基本がなってるw
 41:22 言い訳の見本
 41:24 三浦のせいですからね！
 41:26 最後に落ちもあったし
 41:26 謝罪叡王
 41:26 謝罪九段
 41:27 みうみうが・・・ｗ
 41:27 みうみうに飛び火ｗｗｗ
 41:27 ｗｗｗｗｗｗｗｗｗｗｗｗｗ
 41:28 酷いいいわけだったあれなら開き直ったほうがいい
 41:29 言い訳だった
 41:29 基本ｗｗ
 41:31 基本ｗｗ
 41:31 あれ基本ｗ
 41:31 最後は責任転嫁でした
 41:32 基本ｗ
 41:32 基本ｗｗ
 41:32 飛び火
 41:32 責任転嫁
 41:33 1番wwwwww
 41:35 三浦は鉄板！
 41:36 なんの解説なんですかｗ
 41:36 非を認めない
 41:40 巻き込まれたみうみうｗｗｗ
 41:43 みうみうｗ
 41:43 たしかに
 41:46 卑怯だ
 41:46 さすが
 41:49 責任転嫁
 41:50 下請けに押しつけるどこぞの会社みたいだ
 41:54 うわｗ
 41:55 吉兆の女将、聞いてる？
 41:55 ははははは
 41:55 ｗｗｗｗ
 41:56 さすが永世謝罪名人
 42:01 謝罪→説明→責任転嫁
 42:01 あれが基本（愕然）
 42:03 くまってるｗｗｗｗｗｗｗｗｗｗｗ
 42:04 なにやっても上手いジメイ氏w
 42:06 熊った
 42:07 メール数竜王戦より多いｗｗｗｗ
 42:07 (´(ｪ)｀)
 42:08 そりゃ連盟に激震が走ったからねw
 42:15 基本てwwwwwww
 42:25 エコバッグの宣伝もさせたし
 42:36 会館で見てる人は更に面白かったんだろうなー
 42:39 あ！くまだ！！
 42:39 誰もが驚く
 42:45 そうこうしてるうちにくま
 42:51 それは仕方ないですよね
 42:52 www
 42:55 それならしょうがないｗ
 42:56 そんなのおかしいから
 42:56 藤井先生も竜王戦でポカしたしな・・・
 42:58 じゃあしかたないな
 42:58 思いたくないｗｗｗ
 43:04 ひきかくくん
 43:05 あなぐまん
 43:05 みうみうが結婚するとは・・・
 43:07 みうみうの結婚＞飯島さんとの対局
 43:16 飯島先生相当傷ついてる
 43:23 ぐるりと
 43:30 天然の獣王
 43:32 角がめっちゃ動いた
 43:33 早いな
 43:34 あっ・・・
 43:36 女流は、忘れっぽい人、多そう
 43:36 そろそろ解説ｗｗｗｗｗｗｗｗｗｗ
 43:36 本田さんは言っちゃうって言ってたなｗ
 43:38 永世獣王
 43:45 こわ
 43:46 先手、この形までは組めるんだけど、ここからどうするのかなぁ
 43:48 ああｗ
 43:49 先手いいだろ
 43:49 謝罪しなさいｗ
 43:50 永世獣王だったか
 43:54 清水先生辺りにぶちかまして
 43:54 www
 43:55 ｗｗｗ
 43:57 どんなニュースがあってもｗ
 44:11 獣王記ってゲームあったな
 44:12 後手満足だろコレは
 44:19 どんな三浦先生があっても
 44:21 清水先生が結婚したら忘れますか
 44:28 ファミコンww
 44:31 そんなにマッチングしなくない？
 45:20 先手は石井四段っぽい指し方
 45:32 先手、昭和っぽい
 46:12 先手の方がいいもんな
 46:19 気分次第で責めないで
 46:22 もうこんな手進んだのか
 46:25 実際に千日間やって欲しいわ
 46:35 永瀬なら鉄板
 46:35 永瀬「根性」
 46:37 夜戦だった
 46:48 かんむる
 46:50 この瞬間ないな
 46:58 しない？
 47:02 ほうじゃろうほうじゃろう
 47:35 くみおえ
 47:36 かたっ
 47:48 一触即発
 47:48 /vote
 47:50 どうするのかな
 48:05 33333
 48:06 ニャン
 48:09 さすが
 48:13 どや顔ｗｗｗｗｗｗｗｗｗｗｗｗ
 48:16 本人もビックリ
 48:18 ほうじゃろうほうじゃろう
 48:26 ざわざわ・・・
 48:29 去年の東急を彷彿とさせる的中率
 48:30 本人がビックリしてる
 48:31 /vote
 48:34 当たるのが普通だろw
 48:35 割れた
 48:37 割れた
 48:39 割れた
 48:39 昨日の解説もあたてましたよー
 48:40 割れた
 48:40 きたーーーーーーーーーー
 48:45 ほうじゃろうほうじゃろう
 48:50 /vote
 48:51 予選で何回かあるよ千日
 48:52 おや
 48:56 あ
 48:56 あーこれは
 49:01 あーやっちゃったよー
 49:05 にゃん日手
 49:08 あ・・
 49:24 雀刺そう
 49:24 初ではない
 49:30 先手だしな
 49:30 ねこの手
 49:40 雀刺ししたい
 49:43 にゃんこの手
 49:47 視聴者を風呂に入らせない
 49:56 スズメがかわいそうだろ！
 49:58 金が帰ってきた
 50:02 先手だけ指してる
 50:04 お
 50:13 角は引く？
 50:13 ひふみん激怒
 50:18 反復横とびはじまった
 50:25 色々考えてますよ！
 50:26 反復横とび
 50:27 ひふみんが激怒するわけないやろ
 50:27 きたーーーーー
 50:30 ピストンクラブ
 50:32 動かざること山の如し
 50:41 ｽｺﾞｲ
 50:43 すごいってｗ
 50:43 拮抗
 50:45 スゴイ
 50:46 ジュースの効果だろ
 50:46 昨日もねー
 50:47 9択しましょうか
 50:50 伏見刺しはどう？
 50:55 砂山を見ると、動かない方がいいだろうな
 51:03 歩下がろう
 51:03 先手決断迫られる・・・
 51:13 かた
 51:15 雀・・・言っちゃった
 51:16 あんたプロだろw当てろよw
 51:18 がっちり
 51:26 あら、村山先生の方が少しいいのか
 51:31 雀がかわいそう…
 51:31 やめいｗｗ
 51:36 wwwww
 51:40 なんじゃこりゃ
 51:42 なにがこい？
 51:44 かてー
 51:45 ｗｗｗｗ
 51:47 みたい
 51:57 やった、南ちゃん解説だ
 51:57 これはなに囲い？
 51:58 先手良すぎわろたｗｗ
 52:00 ワオ
 52:01 お
 52:02 ですよねー
 52:04 NHKでの鈴木渡辺戦を思い出す
 52:05 押しきれると
 52:06 おー
 52:10 そんなにか
 52:12 へー
 52:16 みなみGJ
 52:16 ほー
 52:24 刺しちゃった
 52:30 きたーーーーーーーーーーーーーーーー
 52:47 風呂食える？
 52:49 大介の構想すごいな
 52:50 栄ちゃん信じてる
 52:54 あっ…（察し
 52:56 食えるよクピポ
 52:58 1０手ｗ
 52:59 食う暇なし
 52:59 腹こわす
 53:00 まあこうはならないの典型だな
 53:05 座禅
 53:06 次の一手は…
 53:09 こうなりそう
 53:14 一応将棋ですね
 53:16 遠大な構想
 53:20 てんてーだっけ
 53:20 9択いこう
 53:26 ﾉｺｯﾀﾉｺｯﾀ
 53:35 連盟のライブ中継、更新遅すぎ
 53:47 後手から動く手もあるのか
 55:18 ◎
 55:24 ◎
 55:58 記録はどなたですか
 56:02 3
 56:02 3
 56:02 3
 56:03 巨瀬？
 56:04 3
 56:05 3
 56:06 33－4
 56:15 どれが俺だろう
 56:23 世界のナベアツ
 56:24 こせｗｗｗ
 56:32 ｗｗｗ
 56:34 またまた～
 56:35 分かってるよｗ
 56:37 あ
 56:37 じめい「えっ？」
 56:38 強調すればするほど
 56:39 妄想ｗ
 56:41 弟弟子だからねｗ
 56:41 えっ？
 56:45 え？
 56:45 鈴木の2勝０敗
 56:46 弁明
 56:47 勘違いしています・・・
 56:47 そういうことにしときます
 56:48 あやし～
 56:50 ？？
 56:51 強調されると逆に
 56:53 そういうことにしときます
 56:54 片道の好意
 56:57 で、ですよね
 56:58 言えば言うほど・・・
 56:59 仲がいい（一方的）
 56:59 表向きはね
 57:01 あーーーーーーーー
 57:02 聞いてもいないのにわざわざ言うってことは…
 57:04 ｗｗｗｗ
 57:04 桜井門下は同年代多いですね
 57:05 勘違いしないしないでよね！
 57:07 またまたご冗談を～
 57:07 あのファイティングポーズｗｗｗ
 57:08 ↑はよ
 57:09 要請があったのかw
 57:12 じめい「お、おう・・・」
 57:13 意訳：仲わるいです
 57:13 おいおいｗｗ
 57:13 ｱｰｲｯﾁｬｯﾀﾖｰ
 57:14 兄心
 57:15 ｗｗｗｗｗｗｗ
 57:16 ｗｗｗ
 57:16 火消しにやっき
 57:17 ちょｗ
 57:20 釈明会見はよ
 57:22 てんてーとみうみうよりは仲いいかもね
 57:23 おいおい
 57:23 自爆ｗｗｗｗ
 57:24 ｗｗｗｗｗ
 57:25 みなみちゃんｗｗｗ
 57:26 解説お願いしますｗｗｗｗｗ
 57:26 か，勘違いしないでよね！
 57:27 ｗｗｗｗ
 57:29 釈明会見
 57:30 油を注いでいくスタイル
 57:30 それが目的だったんかｗ
 57:31 みなみちゃんｗ
 57:33 飯島村山は平成の升田大山関係
 57:34 火のないところにといいますし・・・
 57:34 貞升さん、謝罪会見して下さい
 57:38 きたーーーーーーーーーーーーーーーーー
 57:38 え
 57:38 お
 57:38 強調するとますます不仲疑惑が強まるんですが
 57:39 おっ
 57:39 お
 57:39 釈明九段
 57:40 お
 57:41 お
 57:41 お
 57:43 お
 57:44 誤解ではない件
 57:44 ビシっと
 57:44 年上のやさしさ
 57:46 じめい「誤解やないで」
 57:47 宣伝もしたし、仲よしアピもした・・・あとはリラックスしてどうぞ
 57:50 兄でも弱いんでしょ
 57:55 じめいさんは失言が多いですからねぇ・・・
 57:57 えいちゃんとジメイ、大ちゃんとマッハ
 57:59 はい自爆
 58:00 びっくり
 58:06 後手からすると一見ありがたいけど・・・
 58:09 大ちゃんあせったか
 58:11 ヘップ
 58:13 一丁上がり！
 58:15 おたわ
 58:16 やったあ
 58:25 カナダの首都
 58:29 解説が田村さんじゃないから・・・
 58:30 村山にっこり
 58:31 なるー
 58:41 やったか!?
 58:46 ほう
 58:49 やったか！？
